host_id,host_verifications
432,1
432,8
432,10
432,4
516,1
516,8
516,10
516,2
516,3
516,4
2010,1
2010,8
2010,6
2010,10
2010,4
3226,1
3226,8
3226,10
3226,4
3445,1
3445,8
3445,10
3445,4
4175,1
4175,8
4175,2
4175,10
4175,4
4775,1
4775,8
4775,2
4775,10
4775,4
6774,1
6774,8
6774,10
6774,4
6821,1
6821,8
6821,2
6821,4
6821,10
7471,1
7471,8
7471,2
7471,10
8330,1
8330,8
8330,2
8330,10
8330,4
9323,1
9323,8
9323,2
9323,10
9720,1
9720,8
9720,10
9720,4
9870,1
9870,8
9870,2
9870,10
9870,4
10587,1
10587,8
10587,2
10587,10
10587,4
11027,1
11027,8
11027,3
11027,6
11027,10
11027,4
11027,17
11123,1
11123,8
11123,10
11123,4
11123,2
11334,1
11334,8
11334,2
11334,10
11334,4
11431,1
11431,8
11431,2
11431,10
11431,4
11454,1
11454,8
11454,2
11454,10
11454,4
12629,1
12629,8
12629,2
12629,10
12629,4
12690,1
12690,8
12690,10
12690,4
13184,1
13184,8
13184,2
13184,10
13184,4
14596,1
14596,8
14596,10
14596,4
14596,2
14596,17
14816,1
14816,8
14816,10
14816,4
14816,2
14816,17
14939,1
14939,8
14939,2
14939,10
14939,4
15733,1
15733,8
15733,10
15733,4
15733,17
16551,1
16551,8
16551,10
16551,4
16751,1
16751,8
16751,10
16751,4
16902,1
16902,8
16902,10
16902,4
17577,1
17577,8
17577,2
17577,10
17577,4
19195,1
19195,8
19195,2
19195,10
19195,4
21093,1
21093,8
21093,10
21093,4
21093,17
21958,1
21958,8
21958,2
21958,10
23625,1
23625,8
23625,2
23625,10
23625,4
23885,1
23885,8
23885,10
25235,1
25235,8
25235,10
25235,4
26648,1
26648,8
26648,10
26648,4
26901,1
26901,8
26901,10
26901,5
27066,1
27066,8
27066,2
27066,3
27066,6
27066,10
27066,4
27639,1
27639,8
27639,10
27639,4
27793,1
27793,8
27793,10
27793,4
27936,1
27936,8
27936,2
27936,10
27936,4
28726,1
28726,8
29896,1
29896,8
29896,2
29896,10
29896,4
29896,17
30006,1
30006,8
30006,10
30006,4
30024,1
30024,8
30024,2
30024,10
30780,1
30780,8
30780,10
30780,4
31401,1
31401,8
31655,1
31655,8
31655,10
31655,2
31655,4
32851,1
32851,8
32851,2
32851,10
32851,4
32909,1
32909,8
32909,2
32909,10
32909,7
32909,4
32971,1
32971,8
32971,10
32971,4
32972,1
32972,8
32972,10
32972,4
33237,1
33237,8
33237,2
33237,6
33237,10
